Perturbation,N,Accuracy,Balanced_Acc,F1_Score,AUROC
Clean,200,0.655,0.655,0.7376425855513308,0.9051
JPEG_90,200,0.645,0.645,0.7300380228136882,0.8724000000000001
JPEG_70,200,0.635,0.635,0.7265917602996255,0.8733000000000001
JPEG_50,200,0.635,0.635,0.7245283018867924,0.8613
JPEG_30,200,0.68,0.6799999999999999,0.75,0.8702
Blur_0.5,200,0.635,0.635,0.7265917602996255,0.8907
Blur_1.0,200,0.565,0.565,0.6925795053003534,0.8593999999999999
Blur_2.0,200,0.535,0.535,0.6804123711340206,0.8294
Downscale_0.5x,200,0.55,0.55,0.6830985915492958,0.8582999999999998
Downscale_0.25x,200,0.515,0.515,0.6734006734006734,0.8212
Noise_0.02,200,0.675,0.6749999999999999,0.7430830039525692,0.8503
Noise_0.05,200,0.635,0.635,0.7265917602996255,0.8353
Noise_0.10,200,0.555,0.5549999999999999,0.6855123674911661,0.8081999999999999
ColorJitter,200,0.655,0.655,0.7376425855513308,0.9007
CenterCrop_80,200,0.65,0.65,0.7368421052631579,0.8943
