condition,auroc,accuracy,balanced_acc,f1,gate_siglip,gate_clip,gate_dinov2,gate_convnext
Clean,0.94125,0.855,0.855,0.8497409326424871,0.45903438,0.5230407,0.0069336956,0.01099154
JPEG_90,0.88355,0.77,0.77,0.8,0.46386537,0.5174667,0.0072159516,0.011451913
JPEG_70,0.8513499999999999,0.72,0.72,0.7647058823529411,0.44069263,0.5416828,0.006855622,0.010768924
JPEG_50,0.8462000000000001,0.755,0.755,0.7782805429864253,0.4411,0.5414406,0.006802968,0.010656539
JPEG_30,0.8334,0.77,0.77,0.780952380952381,0.45836747,0.5238739,0.006906203,0.010852185
Blur_0.5,0.93475,0.84,0.8400000000000001,0.8350515463917526,0.45889336,0.5231996,0.0069165723,0.010990373
Blur_1.0,0.9264,0.825,0.825,0.8186528497409327,0.45033547,0.5321123,0.0067722537,0.010779695
Blur_2.0,0.90095,0.805,0.8049999999999999,0.8020304568527918,0.42629674,0.5571775,0.0064549996,0.010070742
Downscale_0.5x,0.9248,0.84,0.8400000000000001,0.8333333333333334,0.44948807,0.53297883,0.006769583,0.010763515
Downscale_0.25x,0.8799999999999999,0.795,0.7949999999999999,0.8,0.42590535,0.5575459,0.00645809,0.010090382
Noise_0.02,0.93235,0.85,0.8500000000000001,0.8421052631578947,0.46161878,0.5205305,0.006929716,0.010921266
Noise_0.05,0.90885,0.815,0.815,0.8,0.44242042,0.54046035,0.006692754,0.010426418
Noise_0.10,0.8677,0.78,0.78,0.7708333333333334,0.42506418,0.55835253,0.006533883,0.010049296
ColorJitter,0.9278,0.86,0.86,0.8541666666666666,0.45741162,0.5248084,0.0068824957,0.010897534
CenterCrop_80,0.9407000000000001,0.87,0.87,0.8737864077669902,0.46472457,0.5169574,0.0070618405,0.011256305
