condition,auroc,accuracy,balanced_acc,f1,gate_siglip,gate_clip,gate_dinov2,gate_convnext
Clean,0.9769,0.895,0.895,0.8864864864864865,0.25174063,0.39771,0.18280423,0.16774544
JPEG_90,0.9206000000000001,0.84,0.8400000000000001,0.8504672897196262,0.2554022,0.37137425,0.19631699,0.17690676
JPEG_70,0.8928999999999999,0.755,0.755,0.7949790794979079,0.25493237,0.36072198,0.20320183,0.18114378
JPEG_50,0.9227,0.85,0.8500000000000001,0.8611111111111112,0.25606695,0.36473122,0.20081295,0.17838864
JPEG_30,0.9117999999999999,0.82,0.8200000000000001,0.8217821782178217,0.2583416,0.37556198,0.19273573,0.17336081
Blur_0.5,0.9695,0.895,0.895,0.8877005347593583,0.25509283,0.3889427,0.18674788,0.16921654
Blur_1.0,0.9565499999999999,0.895,0.895,0.8955223880597015,0.25733048,0.3788274,0.19305724,0.17078494
Blur_2.0,0.9514,0.885,0.885,0.8909952606635071,0.24492714,0.39092132,0.19304928,0.17110218
Downscale_0.5x,0.9544,0.875,0.875,0.8756218905472637,0.25555152,0.38098034,0.19280998,0.17065793
Downscale_0.25x,0.9299999999999999,0.85,0.8500000000000001,0.8611111111111112,0.24551405,0.38821128,0.19471067,0.17156395
Noise_0.02,0.9691500000000001,0.865,0.865,0.8457142857142858,0.23591363,0.4202809,0.17403261,0.16977291
Noise_0.05,0.94245,0.82,0.8200000000000001,0.7831325301204819,0.22491947,0.43402797,0.17020728,0.1708453
Noise_0.10,0.91035,0.785,0.7849999999999999,0.7295597484276729,0.21980038,0.43783674,0.16929191,0.17307118
ColorJitter,0.9725,0.885,0.885,0.8756756756756757,0.24662107,0.40248516,0.18130621,0.1695877
CenterCrop_80,0.9789,0.92,0.9199999999999999,0.9157894736842105,0.25420395,0.38968128,0.18606324,0.17005146
