condition,auroc,accuracy,balanced_acc,f1,gate_siglip,gate_clip,gate_dinov2
Clean,0.9998,0.985,0.985,0.9852216748768473,0.37768283,0.49125096,0.1310662
JPEG_90,1.0,0.955,0.9550000000000001,0.9569377990430622,0.3635511,0.5058541,0.13059482
JPEG_70,1.0,0.965,0.9650000000000001,0.966183574879227,0.36282066,0.5002546,0.1369246
JPEG_50,1.0,0.95,0.95,0.9523809523809523,0.3446944,0.5134798,0.14182568
JPEG_30,0.9991,0.975,0.975,0.975609756097561,0.32136753,0.5268897,0.15174276
Blur_0.5,0.9993,0.98,0.98,0.9803921568627451,0.38116387,0.48908752,0.12974863
Blur_1.0,0.9983,0.905,0.905,0.91324200913242,0.39292747,0.47831452,0.12875788
Blur_2.0,0.9977999999999999,0.725,0.725,0.7843137254901961,0.3933236,0.4724601,0.13421622
Downscale_0.5x,0.9987,0.93,0.9299999999999999,0.9345794392523364,0.39080063,0.47814238,0.1310567
Downscale_0.25x,0.9928000000000001,0.675,0.675,0.7547169811320755,0.38161972,0.48526722,0.13311298
Noise_0.02,0.9986999999999999,0.95,0.95,0.9473684210526315,0.3470046,0.5123834,0.14061214
Noise_0.05,0.9907,0.92,0.9199999999999999,0.9130434782608695,0.30788752,0.5443838,0.14772864
Noise_0.10,0.9657,0.89,0.89,0.8804347826086957,0.29157826,0.56028765,0.14813405
ColorJitter,0.9986999999999999,0.975,0.975,0.9753694581280788,0.38159347,0.48787418,0.13053243
CenterCrop_80,1.0,0.99,0.99,0.9900990099009901,0.36971256,0.49968842,0.13059914
