condition,auroc,accuracy,balanced_acc,f1,gate_siglip,gate_clip,gate_dinov2
Clean,1.0,1.0,1.0,1.0,0.3351081,0.49056044,0.1743314
JPEG_90,0.9995999999999999,0.965,0.9650000000000001,0.966183574879227,0.33049092,0.49533948,0.17416972
JPEG_70,0.9997,0.97,0.97,0.970873786407767,0.33438507,0.48586,0.17975485
JPEG_50,0.9996999999999999,0.97,0.97,0.970873786407767,0.33851102,0.4757673,0.18572189
JPEG_30,0.9981,0.97,0.97,0.9702970297029703,0.35631707,0.44364175,0.20004141
Blur_0.5,1.0,0.99,0.99,0.9900990099009901,0.3303899,0.497986,0.1716242
Blur_1.0,1.0,0.975,0.975,0.975609756097561,0.3177629,0.51648766,0.16574955
Blur_2.0,0.9998,0.95,0.95,0.9523809523809523,0.29851866,0.5383498,0.16313165
Downscale_0.5x,1.0,0.97,0.97,0.970873786407767,0.32053876,0.5116605,0.16780089
Downscale_0.25x,0.9993,0.925,0.925,0.9302325581395349,0.3016099,0.5354265,0.16296346
Noise_0.02,1.0,0.995,0.995,0.9949748743718593,0.36041585,0.45264262,0.18694149
Noise_0.05,0.9998,0.97,0.97,0.9690721649484536,0.3807996,0.4173653,0.20183535
Noise_0.10,0.9964000000000001,0.955,0.9550000000000001,0.9528795811518325,0.38070008,0.4119171,0.20738277
ColorJitter,1.0,1.0,1.0,1.0,0.33279777,0.49309188,0.17411037
CenterCrop_80,1.0,0.995,0.995,0.9950248756218906,0.32539713,0.50373137,0.17087154
