condition,auroc,accuracy,balanced_acc,f1,gate_siglip,gate_clip,gate_dinov2
Clean,1.0,0.96,0.96,0.9615384615384616,0.24565992,0.57404214,0.18029799
JPEG_90,0.9996,0.76,0.76,0.8064516129032258,0.23001362,0.58795905,0.18202746
JPEG_70,1.0,0.755,0.755,0.8032128514056225,0.23557466,0.56950814,0.19491726
JPEG_50,1.0,0.785,0.7849999999999999,0.823045267489712,0.22683084,0.56553936,0.20762989
JPEG_30,0.9994999999999999,0.84,0.8400000000000001,0.8620689655172413,0.21526806,0.56035876,0.22437327
Blur_0.5,1.0,0.935,0.935,0.9389671361502347,0.24944049,0.5702036,0.18035573
Blur_1.0,0.9977,0.845,0.845,0.8658008658008658,0.2578669,0.5584618,0.18367107
Blur_2.0,0.9992,0.75,0.75,0.8,0.25222313,0.5503019,0.19747497
Downscale_0.5x,0.9987,0.85,0.85,0.8695652173913043,0.25995252,0.55245,0.18759735
Downscale_0.25x,0.9975999999999999,0.68,0.6799999999999999,0.7575757575757576,0.24315904,0.5564764,0.20036441
Noise_0.02,0.9999,0.995,0.995,0.9950248756218906,0.22406648,0.57821023,0.19772339
Noise_0.05,0.9952000000000001,0.98,0.98,0.9797979797979798,0.20204094,0.57565767,0.22230142
Noise_0.10,0.9858,0.925,0.925,0.9253731343283582,0.19325295,0.5699965,0.23675033
ColorJitter,1.0,0.965,0.9650000000000001,0.966183574879227,0.24907005,0.5717849,0.1791448
CenterCrop_80,0.9999,0.94,0.94,0.9433962264150944,0.23582397,0.5839627,0.18021315
