Perturbation,N,Accuracy,Balanced_Acc,F1_Score,AUROC,Gate_SigLIP,Gate_CLIP
Clean,200,0.995,0.995,0.9950248756218906,1.0,0.40639332,0.59360677
JPEG_90,200,0.975,0.975,0.975609756097561,0.9997,0.40678936,0.5932107
JPEG_70,200,0.985,0.985,0.9852216748768473,0.9998,0.41534674,0.58465314
JPEG_50,200,0.985,0.985,0.9852216748768473,0.9998,0.42621285,0.5737871
JPEG_30,200,0.985,0.985,0.9850746268656716,0.9994999999999999,0.45820487,0.5417951
Blur_0.5,200,0.995,0.995,0.9950248756218906,0.9999,0.40245816,0.59754175
Blur_1.0,200,0.955,0.9550000000000001,0.9569377990430622,0.9967,0.39413488,0.6058649
Blur_2.0,200,0.95,0.95,0.9523809523809523,0.9954999999999999,0.39486226,0.60513777
Downscale_0.5x,200,0.955,0.9550000000000001,0.9569377990430622,0.9955999999999999,0.3985994,0.6014006
Downscale_0.25x,200,0.88,0.88,0.8928571428571429,0.9904,0.3952834,0.60471666
Noise_0.02,200,0.97,0.97,0.9690721649484536,1.0,0.4421625,0.55783755
Noise_0.05,200,0.9,0.9,0.8888888888888888,0.9969999999999999,0.48083347,0.5191666
Noise_0.10,200,0.885,0.885,0.8700564971751412,0.9945999999999999,0.4964766,0.5035234
ColorJitter,200,0.995,0.995,0.9950248756218906,1.0,0.40572533,0.59427464
CenterCrop_80,200,1.0,1.0,1.0,1.0,0.4043795,0.5956206
